
----------- Image ------------

1 2 3 4 5 6 7 8 
9 10 11 12 13 14 15 16 
17 18 19 20 21 22 23 24 
25 26 27 28 29 30 31 32 
33 34 35 36 37 38 39 40 
41 42 43 44 45 46 47 48 
49 50 51 52 53 54 55 56 
57 58 59 60 61 62 63 64 

--- Integral Image ---

1 3 6 10 15 21 28 36 
10 22 36 52 70 90 112 136 
27 57 90 126 165 207 252 300 
52 108 168 232 300 372 448 528 
85 175 270 370 475 585 700 820 
126 258 396 540 690 846 1008 1176 
175 357 546 742 945 1155 1372 1596 
232 472 720 976 1240 1512 1792 2080 

--- Integral Image 45 ---

1 12 42 100 195 336 532 792 
9 37 93 186 325 519 777 1043 
17 69 158 293 483 737 999 1269 
25 101 230 414 662 918 1182 1454 
33 133 302 542 790 1046 1310 1582 
41 165 374 605 851 1105 1367 1637 
49 197 381 594 829 1079 1337 1603 
57 164 314 500 715 952 1204 1464 

------- Integral Image 135 -------
876 616 413 260 150 76 31 8 
1127 873 611 406 251 139 63 16 
1353 1103 845 579 370 211 95 24 
1538 1290 1034 770 498 283 127 32 
1666 1418 1162 898 626 355 159 40 
1721 1471 1213 947 682 427 191 48 
1687 1433 1171 910 659 427 223 56 
1548 1288 1029 780 550 348 183 64 
